Wow! Momo,350,Tibetan|Burger,Cuttack,Mal Godown Market,Quick Bites,11am :11pm,Good,3.6,66
Foodism,500,Chinese|Biryani,Cuttack,Naya Bazaar,Quick Bites,Closed|11am :11pm,Average,3.4,57
Wheelies,200,Fast Food,Cuttack,Sutahat,Quick Bites,11am :10pm,Good,3.5,44
Baromishali Bengali Restaurant,350,Bengali|North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,7am :11pm,Average,3.4,19
Hunger Lounge - The 99 Store,200,Cuisine Varies,Cuttack,CDA Sector 6,Café,11am :10pm,None,NEW,NEW
DSP Biryani,300,Biryani,Cuttack,CDA Sector 6,Quick Bites,5pm :930pm,Average,3.3,35
Bon Appetit,200,Fast Food,Cuttack,Sutahat,Quick Bites,11am :10pm,Average,3.3,30
Swaad Restaurant,350,North Indian|Chinese|Biryani,Cuttack,Mal Godown Market,Casual Dining,,Average,3.3,43
Baker's Delite,400,Bakery,Cuttack,Buxi Bazaar,Quick Bites,11am :9pm,Average,3.4,29
Tea Junction,200,Tea|Fast Food,Cuttack,CDA Sector 6,Quick Bites,11am :10pm,Average,3.1,24
Kalia Chop Centre,200,Fast Food,Cuttack,Siba Bazaar,Quick Bites,11am :10pm,Average,3.4,26
Baker's Delite,200,Bakery,Cuttack,Naya Bazaar,Bakery,8am :10pm,Average,3.2,23
M/S College Cafe,400,Fast Food,Cuttack,Buxi Bazaar,Quick Bites,11am :10pm,Average,3.3,22
Mio Amore,200,Bakery,Cuttack,Naya Bazaar,Bakery,9am :10pm,Average,3.3,27
Kabab Point,300,Kebab,Cuttack,Sutahat,Quick Bites,10am :10pm,Average,3.4,22
Cream Centre,300,Bakery|Fast Food,Cuttack,Sutahat,Bakery,11am :9pm,Average,3.3,12
Manisha Residency,300,North Indian|Chinese,Cuttack,Mal Godown Market,Quick Bites,11am :10pm,Average,3.2,11
Gujarat Namkeen,200,Street Food,Cuttack,Sutahat,Quick Bites,8am :12noon|2pm :10pm,Not rated,-,-
The Momolicious,200,Chinese|Momos,Cuttack,Naya Bazaar,Quick Bites,5pm :10pm,None,NEW,NEW
Kalinga Foods,250,North Indian|South Indian,Cuttack,Naya Bazaar,Quick Bites,11am :10pm,Average,3.3,10
Partha's Hangout Junction,900,North Indian|Chinese|Continental,Cuttack,CDA Sector 6,Quick Bites,11am :11pm,Average,3.4,36
The London Shakes,300,Cafe|Pizza|Desserts,Cuttack,Buxi Bazaar,Quick Bites,10am :10pm,None,NEW,NEW
Adwita Spice Affair,400,Fast Food,Cuttack,Buxi Bazaar,Quick Bites,11am :10pm,Not rated,-,-
Sri Balaji South Indian Food Court,100,South Indian,Cuttack,CDA Sector 6,Quick Bites,7am :3pm|6pm :10pm,None,NEW,NEW
Scube Foodies,200,Fast Food|Burger|Wraps,Cuttack,Kalyani Nagar,Quick Bites,11am :10pm,Average,3.2,6
The Chef,250,Fast Food|Chinese,Cuttack,CDA Sector 6,Quick Bites,430pm :930pm,Average,3.2,8
Auroville Veg Restaurant,500,North Indian|Chinese|South Indian,Cuttack,Siba Bazaar,Quick Bites,11am :10pm,Average,3.2,11
Bombay Restaurant- Hotel Bombay Inn,800,North Indian|South Indian|Chinese|Beverages|Desserts,Cuttack,Siba Bazaar,Casual Dining,11am :11pm,Average,3.3,31
Cafe D' Lite,400,Bakery|Fast Food,Cuttack,Buxi Bazaar,Bakery,11am :9pm,Not rated,-,-
Spicy Bite,300,North Indian,Cuttack,Siba Bazaar,Quick Bites,11am :11pm,Average,3.4,56
BNSON BLUE,300,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,11am :10pm,Average,3.2,6
Maa Mangala Fast Food,300,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,1pm :10pm,Average,3.2,5
Bobaalo,250,Chinese|North Indian,Cuttack,CDA Sector 6,Food Truck,430am :11pm,Good,3.6,69
Janessa Restaurant,200,North Indian,Cuttack,CDA Sector 6,Quick Bites,11am :10pm,Average,3.2,5
Hot Curry,200,North Indian,Cuttack,CDA Sector 6,none,1pm :1015pm,Not rated,-,-
The Taste Of Heaven,300,Ice Cream,Cuttack,Sutahat,Dessert Parlor,11am :8pm,Not rated,-,-
New Marwari Bhojanalaya,300,Oriya,Cuttack,Sutahat,none,12noon :3pm|7pm :10pm,Not rated,-,-
The Royal Chilli,300,Chinese,Cuttack,Police Colony,Quick Bites,5pm :10pm,Not rated,-,-
Bake Shop,250,Bakery,Cuttack,CDA Sector 6,Bakery,9am :10pm,None,NEW,NEW
Cafe Delight,0,Fast Food,Cuttack,CDA Sector 6,Quick Bites,7am :9pm,Not rated,-,-
Naugaon pitha- A Product Of Annapurna,150,Oriya,Cuttack,Sutahat,Quick Bites,12noon :9pm,None,NEW,NEW
T Tiffin Box,200,North Indian,Cuttack,Police Colony,none,10am :10pm,None,NEW,NEW
Mahabahu Catering & Food Service,0,North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,10am :10pm,None,NEW,NEW
Hotel Punjabi Tadka,250,Biryani|North Indian,Cuttack,Police Colony,Quick Bites,11am :4pm|6pm :11pm,Average,3.4,48
Brewbakes,350,Cafe,Cuttack,Police Colony,Café,930am :1030pm,Average,3.4,62
